日期,城市,门店编号,产品名称,产品类别,单价(元),销量(杯),折扣,实付金额(元),会员占比(%),天气,季节,是否节假日,营销活动
2025-07-20,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,242,0,4840,57,高温,夏季,否,
2025-07-20,天津,TJ-001,桃桃乌龙,鲜果茶,18,218,0,3924,64,多云,夏季,否,
2025-07-20,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,195,0,3120,71,晴,夏季,否,
2025-08-10,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,358,0,5728,75,高温,夏季,是,夏日冰饮节
2025-08-10,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,392,0,6272,70,高温,夏季,是,夏日冰饮节
2025-08-10,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,252,0,4536,58,雷阵雨,夏季,是,夏日冰饮节
2025-08-10,深圳,SZ-001,芝芝葡萄,鲜果茶,20,332,0,6640,65,高温,夏季,是,夏日冰饮节
2025-08-10,成都,CD-001,桃桃乌龙,鲜果茶,18,418,0,7524,73,多云,夏季,是,夏日冰饮节
2025-08-10,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,322,0,5152,77,高温,夏季,是,夏日冰饮节
2025-08-10,武汉,WH-001,桂花弄,原叶鲜奶茶,16,278,0,4448,68,高温,夏季,是,夏日冰饮节
2025-08-10,南京,NJ-001,青柑普洱,现萃茶,15,242,0,3630,61,晴,夏季,是,夏日冰饮节
2025-08-10,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,355,0,5680,72,高温,夏季,是,夏日冰饮节
2025-08-10,重庆,CQ-001,满杯橙意,鲜果茶,18,318,0,5724,67,多云,夏季,是,夏日冰饮节
2025-08-10,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,435,0,7830,71,高温,夏季,是,夏日冰饮节
2025-08-10,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,228,0,3648,73,晴,夏季,是,夏日冰饮节
2025-08-10,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,255,0,5100,58,多云,夏季,是,夏日冰饮节
2025-08-10,天津,TJ-001,桃桃乌龙,鲜果茶,18,232,0,4176,65,高温,夏季,是,夏日冰饮节
2025-08-10,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,208,0,3328,72,多云,夏季,是,夏日冰饮节
2025-10-01,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,385,0.1,5544,78,晴,秋季,是,国庆黄金周
2025-10-01,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,412,0.1,5933,72,多云,秋季,是,国庆黄金周
2025-10-01,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,268,0.1,4342,59,晴,秋季,是,国庆黄金周
2025-10-01,深圳,SZ-001,芝芝葡萄,鲜果茶,20,352,0.1,6336,66,晴,秋季,是,国庆黄金周
2025-10-01,成都,CD-001,桃桃乌龙,鲜果茶,18,435,0.1,7047,74,多云,秋季,是,国庆黄金周
2025-10-01,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,342,0.1,4925,78,阴,秋季,是,国庆黄金周
2025-10-01,武汉,WH-001,桂花弄,原叶鲜奶茶,16,295,0.1,4248,69,多云,秋季,是,国庆黄金周
2025-10-01,南京,NJ-001,青柑普洱,现萃茶,15,252,0.1,3402,62,晴,秋季,是,国庆黄金周
2025-10-01,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,375,0.1,5400,73,晴,秋季,是,国庆黄金周
2025-10-01,重庆,CQ-001,满杯橙意,鲜果茶,18,328,0.1,5314,67,多云,秋季,是,国庆黄金周
2025-10-01,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,452,0.1,7322,71,晴,秋季,是,国庆黄金周
2025-10-01,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,238,0.1,3427,73,多云,秋季,是,国庆黄金周
2025-10-01,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,272,0.1,4896,58,晴,秋季,是,国庆黄金周
2025-10-01,天津,TJ-001,桃桃乌龙,鲜果茶,18,248,0.1,4018,65,多云,秋季,是,国庆黄金周
2025-10-01,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,228,0.1,3283,72,晴,秋季,是,国庆黄金周
2025-12-25,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,318,0,5088,76,阴,冬季,是,圣诞限定
2025-12-25,上海,SH-001,茉莉雪芽,原叶鲜奶茶,16,362,0,5792,71,多云,冬季,是,圣诞限定
2025-12-25,广州,GZ-001,鸭屎香柠檬茶,柠檬茶,18,228,0,4104,58,阴,冬季,是,圣诞限定
2025-12-25,深圳,SZ-001,芝芝葡萄,鲜果茶,20,308,0,6160,65,晴,冬季,是,圣诞限定
2025-12-25,成都,CD-001,桃桃乌龙,鲜果茶,18,385,0,6930,73,多云,冬季,是,圣诞限定
2025-12-25,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,298,0,4768,77,小雨,冬季,是,圣诞限定
2025-12-25,武汉,WH-001,桂花弄,原叶鲜奶茶,16,262,0,4192,68,阴,冬季,是,圣诞限定
2025-12-25,南京,NJ-001,青柑普洱,现萃茶,15,228,0,3420,61,多云,冬季,是,圣诞限定
2025-12-25,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,328,0,5248,72,晴,冬季,是,圣诞限定
2025-12-25,重庆,CQ-001,满杯橙意,鲜果茶,18,295,0,5310,67,多云,冬季,是,圣诞限定
2025-12-25,长沙,CS-001,鸭屎香柠檬茶,柠檬茶,18,398,0,7164,70,晴,冬季,是,圣诞限定
2025-12-25,苏州,SZ-002,茉莉雪芽,原叶鲜奶茶,16,208,0,3328,73,多云,冬季,是,圣诞限定
2025-12-25,郑州,ZZ-001,芝芝葡萄,鲜果茶,20,228,0,4560,58,晴,冬季,是,圣诞限定
2025-12-25,天津,TJ-001,桃桃乌龙,鲜果茶,18,208,0,3744,65,阴,冬季,是,圣诞限定
2025-12-25,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,195,0,3120,72,多云,冬季,是,圣诞限定
2025-02-01,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,234,0.15,3167,72,晴,冬季,是,春节特惠
2025-02-01,上海,SH-001,茉莉雪芽,鲜果茶,18,289,0.15,4413,69,多云,冬季,是,春节特惠
2025-02-01,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,167,0.15,3103,57,阴,冬季,是,春节特惠
2025-02-01,深圳,SZ-001,芝芝葡萄,鲜果茶,25,234,0.15,4976,63,晴,冬季,是,春节特惠
2025-02-01,成都,CD-001,桃桃乌龙,鲜果茶,20,298,0.15,5066,71,多云,冬季,是,春节特惠
2025-02-01,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,212,0.15,2883,75,阴,冬季,是,春节特惠
2025-02-01,武汉,WH-001,桂花弄,原叶鲜奶茶,19,189,0.15,3044,66,多云,冬季,是,春节特惠
2025-02-01,南京,NJ-001,青柑普洱,鲜果茶,21,156,0.15,2776,58,晴,冬季,是,春节特惠
2025-02-01,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,267,0.15,3632,70,晴,冬季,是,春节特惠
2025-02-01,重庆,CQ-001,满杯橙意,鲜果茶,18,223,0.15,3409,64,阴,冬季,是,春节特惠
2025-02-01,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,312,0.15,5811,69,晴,冬季,是,春节特惠
2025-02-01,苏州,SZ-002,茉莉雪芽,鲜果茶,18,145,0.15,2219,72,多云,冬季,是,春节特惠
2025-02-01,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,178,0.15,3795,56,晴,冬季,是,春节特惠
2025-02-01,天津,TJ-001,桃桃乌龙,鲜果茶,20,167,0.15,2839,63,阴,冬季,是,春节特惠
2025-02-01,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,145,0.15,1973,71,多云,冬季,是,春节特惠
2025-02-14,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,312,0.1,4494,75,晴,冬季,是,情人节限定
2025-02-14,上海,SH-001,茉莉雪芽,鲜果茶,18,345,0.1,5598,70,多云,冬季,是,情人节限定
2025-02-14,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,212,0.1,4198,58,阴,冬季,是,情人节限定
2025-02-14,深圳,SZ-001,芝芝葡萄,鲜果茶,25,298,0.1,6705,65,晴,冬季,是,情人节限定
2025-02-14,成都,CD-001,桃桃乌龙,鲜果茶,20,367,0.1,6606,73,多云,冬季,是,情人节限定
2025-02-14,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,278,0.1,3989,76,阴,冬季,是,情人节限定
2025-02-14,武汉,WH-001,桂花弄,原叶鲜奶茶,19,245,0.1,4217,67,多云,冬季,是,情人节限定
2025-02-14,南京,NJ-001,青柑普洱,鲜果茶,21,201,0.1,3809,59,晴,冬季,是,情人节限定
2025-02-14,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,323,0.1,4654,71,晴,冬季,是,情人节限定
2025-02-14,重庆,CQ-001,满杯橙意,鲜果茶,18,278,0.1,4495,65,小雨,冬季,是,情人节限定
2025-02-14,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,378,0.1,7482,70,晴,冬季,是,情人节限定
2025-02-14,苏州,SZ-002,茉莉雪芽,鲜果茶,18,189,0.1,3065,72,多云,冬季,是,情人节限定
2025-02-14,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,213,0.1,4800,57,阴,冬季,是,情人节限定
2025-02-14,天津,TJ-001,桃桃乌龙,鲜果茶,20,198,0.1,3564,64,晴,冬季,是,情人节限定
2025-02-14,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,178,0.1,2564,72,多云,冬季,是,情人节限定
2025-03-08,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,298,0,4768,74,晴,春季,是,三八女神节
2025-03-08,上海,SH-001,茉莉雪芽,鲜果茶,18,334,0,6012,68,多云,春季,是,三八女神节
2025-03-08,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,201,0,4422,56,晴,春季,是,三八女神节
2025-03-08,深圳,SZ-001,芝芝葡萄,鲜果茶,25,289,0,7225,64,晴,春季,是,三八女神节
2025-03-08,成都,CD-001,桃桃乌龙,鲜果茶,20,356,0,7120,72,多云,春季,是,三八女神节
2025-03-08,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,267,0,4272,75,小雨,春季,是,三八女神节
2025-03-08,武汉,WH-001,桂花弄,原叶鲜奶茶,19,234,0,4446,66,阴,春季,是,三八女神节
2025-03-08,南京,NJ-001,青柑普洱,鲜果茶,21,198,0,4158,60,晴,春季,是,三八女神节
2025-03-08,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,312,0,4992,70,多云,春季,是,三八女神节
2025-03-08,重庆,CQ-001,满杯橙意,鲜果茶,18,267,0,4806,65,晴,春季,是,三八女神节
2025-03-08,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,367,0,8074,69,多云,春季,是,三八女神节
2025-03-08,苏州,SZ-002,茉莉雪芽,鲜果茶,18,178,0,3204,71,阴,春季,是,三八女神节
2025-03-08,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,201,0,5025,56,晴,春季,是,三八女神节
2025-03-08,天津,TJ-001,桃桃乌龙,鲜果茶,20,189,0,3780,63,多云,春季,是,三八女神节
2025-03-08,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,167,0,2672,71,晴,春季,是,三八女神节
2025-04-15,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,312,0,4992,73,晴,春季,否,
2025-04-15,上海,SH-001,茉莉雪芽,鲜果茶,18,356,0,6408,69,多云,春季,否,
2025-04-15,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,223,0,4906,57,晴,春季,否,
2025-04-15,深圳,SZ-001,芝芝葡萄,鲜果茶,25,301,0,7525,63,晴,春季,否,
2025-04-15,成都,CD-001,桃桃乌龙,鲜果茶,20,378,0,7560,71,多云,春季,否,
2025-04-15,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,289,0,4624,75,小雨,春季,否,
2025-04-15,武汉,WH-001,桂花弄,原叶鲜奶茶,19,245,0,4655,66,阴,春季,否,
2025-04-15,南京,NJ-001,青柑普洱,鲜果茶,21,212,0,4452,60,多云,春季,否,
2025-04-15,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,323,0,5168,70,晴,春季,否,
2025-04-15,重庆,CQ-001,满杯橙意,鲜果茶,18,289,0,5202,65,晴,春季,否,
2025-04-15,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,389,0,8558,68,多云,春季,否,
2025-04-15,苏州,SZ-002,茉莉雪芽,鲜果茶,18,198,0,3564,72,晴,春季,否,
2025-04-15,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,223,0,5575,57,阴,春季,否,
2025-04-15,天津,TJ-001,桃桃乌龙,鲜果茶,20,201,0,4020,63,多云,春季,否,
2025-04-15,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,178,0,2848,71,晴,春季,否,
2025-05-01,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,345,0.1,4968,76,晴,春季,是,五一劳动节
2025-05-01,上海,SH-001,茉莉雪芽,鲜果茶,18,378,0.1,6121,70,多云,春季,是,五一劳动节
2025-05-01,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,245,0.1,4755,58,晴,春季,是,五一劳动节
2025-05-01,深圳,SZ-001,芝芝葡萄,鲜果茶,25,323,0.1,7268,65,晴,春季,是,五一劳动节
2025-05-01,成都,CD-001,桃桃乌龙,鲜果茶,20,401,0.1,7218,73,多云,春季,是,五一劳动节
2025-05-01,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,312,0.1,4494,76,晴,春季,是,五一劳动节
2025-05-01,武汉,WH-001,桂花弄,原叶鲜奶茶,19,267,0.1,4569,67,多云,春季,是,五一劳动节
2025-05-01,南京,NJ-001,青柑普洱,鲜果茶,21,234,0.1,4418,61,晴,春季,是,五一劳动节
2025-05-01,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,345,0.1,4968,71,晴,春季,是,五一劳动节
2025-05-01,重庆,CQ-001,满杯橙意,鲜果茶,18,312,0.1,5054,66,晴,春季,是,五一劳动节
2025-05-01,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,412,0.1,7982,70,多云,春季,是,五一劳动节
2025-05-01,苏州,SZ-002,茉莉雪芽,鲜果茶,18,212,0.1,3442,72,晴,春季,是,五一劳动节
2025-05-01,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,245,0.1,5513,57,多云,春季,是,五一劳动节
2025-05-01,天津,TJ-001,桃桃乌龙,鲜果茶,20,223,0.1,4014,64,晴,春季,是,五一劳动节
2025-05-01,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,198,0.1,2852,72,晴,春季,是,五一劳动节
2025-06-18,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,289,0.12,4074,74,多云,夏季,是,618大促
2025-06-18,上海,SH-001,茉莉雪芽,鲜果茶,18,323,0.12,5110,69,晴,夏季,是,618大促
2025-06-18,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,212,0.12,3716,57,雷阵雨,夏季,是,618大促
2025-06-18,深圳,SZ-001,芝芝葡萄,鲜果茶,25,289,0.12,6358,64,晴,夏季,是,618大促
2025-06-18,成都,CD-001,桃桃乌龙,鲜果茶,20,356,0.12,6266,72,多云,夏季,是,618大促
2025-06-18,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,267,0.12,3764,75,小雨,夏季,是,618大促
2025-06-18,武汉,WH-001,桂花弄,原叶鲜奶茶,19,234,0.12,4031,66,晴,夏季,是,618大促
2025-06-18,南京,NJ-001,青柑普洱,鲜果茶,21,201,0.12,3711,60,多云,夏季,是,618大促
2025-06-18,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,301,0.12,4238,70,晴,夏季,是,618大促
2025-06-18,重庆,CQ-001,满杯橙意,鲜果茶,18,278,0.12,4404,65,晴,夏季,是,618大促
2025-06-18,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,378,0.12,7363,69,多云,夏季,是,618大促
2025-06-18,苏州,SZ-002,茉莉雪芽,鲜果茶,18,189,0.12,3016,72,晴,夏季,是,618大促
2025-06-18,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,213,0.12,4691,57,多云,夏季,是,618大促
2025-06-18,天津,TJ-001,桃桃乌龙,鲜果茶,20,198,0.12,3486,63,晴,夏季,是,618大促
2025-06-18,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,176,0.12,2492,71,多云,夏季,是,618大促
2025-07-20,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,334,0,5344,73,晴,夏季,否,
2025-07-20,上海,SH-001,茉莉雪芽,鲜果茶,18,367,0,6606,68,高温,夏季,否,
2025-07-20,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,234,0,5148,57,雷阵雨,夏季,否,
2025-07-20,深圳,SZ-001,芝芝葡萄,鲜果茶,25,312,0,7800,63,高温,夏季,否,
2025-07-20,成都,CD-001,桃桃乌龙,鲜果茶,20,389,0,7780,72,多云,夏季,否,
2025-07-20,杭州,HZ-001,伯牙绝弦,原叶鲜奶茶,16,298,0,4768,75,高温,夏季,否,
2025-07-20,武汉,WH-001,桂花弄,原叶鲜奶茶,19,256,0,4864,66,高温,夏季,否,
2025-07-20,南京,NJ-001,青柑普洱,鲜果茶,21,223,0,4683,60,晴,夏季,否,
2025-07-20,西安,XA-001,伯牙绝弦,原叶鲜奶茶,16,334,0,5344,70,晴,夏季,否,
2025-07-20,重庆,CQ-001,满杯橙意,鲜果茶,18,298,0,5364,65,高温,夏季,否,
2025-07-20,长沙,CS-001,鸭屎香柠檬茶,鲜果茶,22,401,0,8822,68,多云,夏季,否,
2025-07-20,苏州,SZ-002,茉莉雪芽,鲜果茶,18,212,0,3816,71,晴,夏季,否,
2025-07-20,郑州,ZZ-001,芝芝葡萄,鲜果茶,25,234,0,5850,57,高温,夏季,否,
2025-07-20,天津,TJ-001,桃桃乌龙,鲜果茶,20,212,0,4240,63,多云,夏季,否,
2025-07-20,青岛,QD-001,伯牙绝弦,原叶鲜奶茶,16,189,0,3024,71,晴,夏季,否,
2025-08-10,北京,BJ-001,伯牙绝弦,原叶鲜奶茶,16,345,0,5520,74,晴,夏季,是,夏日冰饮节
2025-08-10,上海,SH-001,茉莉雪芽,鲜果茶,18,378,0,6804,69,高温,夏季,是,夏日冰饮节
2025-08-10,广州,GZ-001,鸭屎香柠檬茶,鲜果茶,22,245,0,5390,57,雷阵雨,夏季,是,夏日冰饮节
2025-08-10,深圳,SZ-001,芝芝葡萄,鲜果茶,25,323,0,8075,64,晴,夏季,是,夏日冰饮节
2025-08-10,成都,CD-001,桃桃乌龙,鲜果茶,20,401,0,8020,73,多云,夏季,是,夏日冰饮节
